AH110,7.1,https://drive.google.com/file/d/1ngB4MujCttZJ1Z6e_q_BWuzzEzHav1UB/view?usp=drivesdk
AH111,12.2,https://drive.google.com/file/d/1hD_8FLvtT53doHR3Xe1zt_LTCIBuW8QA/view?usp=drivesdk
AH111,14.1,https://drive.google.com/file/d/1KPNANKiLzJ5QF4N81vjVUf-jLBv40Gxt/view?usp=drivesdk
AH111,12.2,https://drive.google.com/file/d/1pK3EmLraQkDTM7W98Xu5orj3vNC9ARzV/view?usp=drivesdk
AH111,8.1,https://drive.google.com/file/d/1DQm8ra1e0vOCqa0z3ZZD2E4NH0ii1kvL/view?usp=drivesdk
AH111,3.2,https://drive.google.com/file/d/1egsXnMtwKimnT64dLFupWLFeDZVExX-q/view?usp=drivesdk
AH154,12.1,https://drive.google.com/file/d/1xRYbrtwyBfrjZUAIiv8Osj3JJyw0A7A1/view?usp=drivesdk
AH154,2.1,https://drive.google.com/file/d/1cbzgLl6hZH_opkw63h0GD1dhAYyAQE98/view?usp=drivesdk
B110,8.2,https://drive.google.com/file/d/1obuOQZb78d8gaMRjqfa1Xrdx3JLEzoQq/view?usp=drivesdk
B110,6.2,https://drive.google.com/file/d/1lXCwhXVyRraRtV4Zzm7jBp8ON01owr-K/view?usp=drivesdk
B110,10.1,https://drive.google.com/file/d/1ehXZBvlZ0i6txMpSOoiQ1EYYLIVomWMC/view?usp=drivesdk
B110,10.1,https://drive.google.com/file/d/1Fr4scy3uYeS6excdkABB4uofazotYggb/view?usp=drivesdk
B111,Assignment 2 / New Heritage,https://drive.google.com/file/d/1ofbHsWPVbbi8tDnFYSCe1OCOP4PnY0aY/view?usp=drivesdk
B111,Assignment 2 / New Heritage,https://drive.google.com/file/d/1S3Y5JE0m-OG0SI7AntrErGGhxss-Qljj/view?usp=drivesdk
B111,8.2,https://drive.google.com/file/d/1d8jZc4MFarVJ72kBvW52WzeBcpbicGa0/view?usp=drivesdk
B111,14.1,https://drive.google.com/file/d/1qv2cJ56OLTDuX9AMqbSXadsl19tceZ8k/view?usp=drivesdk
B112,9.2,https://drive.google.com/file/d/1Itaw2kiIO0KK7-z7IVa9LI6NTypq1E6l/view?usp=drivesdk
B112,4.1,https://drive.google.com/file/d/1yFPOqAbV5Grf3vE1evdO32kxfQ9eo8C0/view?usp=drivesdk
B112,2.1,https://drive.google.com/file/d/1W6raSi-cSGxCbygaxOCO3Jebjc-_EvL7/view?usp=drivesdk
B112,14.1,https://drive.google.com/file/d/1Xb4th9SAIxGeIMTVKJzQyN1zplBJSwlj/view?usp=drivesdk
B112,14.2,https://drive.google.com/file/d/1-InlkJDEVmjdju3YIS0YqIeK19Pn-0E7/view?usp=drivesdk
B112,7.1,https://drive.google.com/file/d/1aH9ao0DRmASpcaWxL4ZFGQwwTmL35aSK/view?usp=drivesdk
B112,13.1,https://drive.google.com/file/d/1yghzshniuNezCRHE6lcUvi6LEEa5SuWA/view?usp=drivesdk
B112,8.2,https://drive.google.com/file/d/1bnu8oRexYwi-BBU6lhLrThMekXpFGaD2/view?usp=drivesdk
B112,8.1,https://drive.google.com/file/d/1d4mWHlKzhqn71DBJkoZhMGq1YzMOLeuN/view?usp=drivesdk
B112,7.1,https://drive.google.com/file/d/1vRs1AFW0bm6UTR4df6_W-DZDESUXZHxe/view?usp=drivesdk
B112,12.2,https://drive.google.com/file/d/1N-PMogyEJ-wyChwg8Iv7NTyaaAh_eKlL/view?usp=drivesdk
B112,4.1,https://drive.google.com/file/d/1RjckNXPtsfjcKGuxTy76SKkBWmt_OH_q/view?usp=drivesdk
B113,14.2,https://drive.google.com/file/d/1QESxc7pqmzyu2e_VnjZUPfGIA7E4t-ed/view?usp=drivesdk
B113,13.2,https://drive.google.com/file/d/1NSdldIy3k2OttvggpO_-G3GI4pHB01hM/view?usp=drivesdk
B113,1.2,https://drive.google.com/file/d/1FQt7AMwYql7X1TrrWPgaNq7LnUllu_5x/view?usp=drivesdk
B113,8.1,https://drive.google.com/file/d/1PxLtye0wZfqXYxBpgWmnG1Pm2ojJVCnC/view?usp=drivesdk
B113,11.1,https://drive.google.com/file/d/1J3QXjb81FRg3KtWNxLLd6NJ_jcBL9Bk3/view?usp=drivesdk
B113,2.2,https://drive.google.com/file/d/1d_fuLWxc3Bw1vYFDAUjDXdCSAawW_0iO/view?usp=drivesdk
B113,12.1,https://drive.google.com/file/d/1Gz-J20TTvJ_rCSc257Bdv7Dp7iqRFgDz/view?usp=drivesdk
B113,9.1,https://drive.google.com/file/d/1y5D4IVJ5dBc_n8zQfFsJyiSVRfLznfIY/view?usp=drivesdk
B113,12.2,https://drive.google.com/file/d/11GekD6ERTihzTYvvfsIfWfQUtxNb2z0M/view?usp=drivesdk
